Start_Date,Start_Hour,Start_Minute,End_Date,End_Hour,End_Minute,Month,Year,Category,Start,Stop,Miles,Purpose,Duration,Speed,Day,Day_Time
2025-01-01,21,11,2025-01-01,21,17,Jan,2025,Business,Fort Pierce,Fort Pierce,8.21,Meal/Entertain,6,82.07634,Friday,Evening
2025-01-02,1,25,2025-01-02,1,37,Jan,2025,Business,Fort Pierce,Fort Pierce,8.05,Meal/Entertain,12,40.2335,Saturday,Night
2025-01-02,20,25,2025-01-02,20,38,Jan,2025,Business,Fort Pierce,Fort Pierce,7.72,Errand/Supplies,13,35.65307077,Saturday,Evening
2025-01-05,17,31,2025-01-05,17,45,Jan,2025,Business,Fort Pierce,Fort Pierce,7.56,Meeting,14,32.41670571,Tuesday,Afternoon
2025-01-06,14,42,2025-01-06,15,49,Jan,2025,Business,Fort Pierce,West Palm Beach,102.51,Customer Visit,67,91.80444,Wednesday,Afternoon
2025-01-06,17,15,2025-01-06,17,19,Jan,2025,Business,West Palm Beach,West Palm Beach,6.92,Meal/Entertain,4,103.80243,Wednesday,Afternoon
2025-01-06,17,30,2025-01-06,17,35,Jan,2025,Business,West Palm Beach,Palm Beach,11.43,Meeting,5,137.115768,Wednesday,Afternoon
2025-01-07,13,27,2025-01-07,13,33,Jan,2025,Business,Cary,Cary,1.29,Meeting,6,12.87472,Thursday,Afternoon
2025-01-10,8,5,2025-01-10,8,25,Jan,2025,Business,Cary,Morrisville,13.36,Meeting,20,40.072566,Sunday,Morning
2025-01-10,12,17,2025-01-10,12,44,Jan,2025,Business,Jamaica,New York,26.55,Customer Visit,27,59.00913333,Sunday,Morning
2025-01-10,15,8,2025-01-10,15,51,Jan,2025,Business,New York,Queens,17.38,Meeting,43,24.25237953,Sunday,Afternoon
2025-01-10,18,18,2025-01-10,18,53,Jan,2025,Business,Elmhurst,New York,12.07,Meeting,35,20.69151429,Sunday,Afternoon
2025-01-10,19,12,2025-01-10,19,32,Jan,2025,Business,Midtown,East Harlem,9.98,Meeting,20,29.933724,Sunday,Evening
2025-01-11,8,55,2025-01-11,9,21,Jan,2025,Business,East Harlem,NoMad,10.30,Temporary Site,26,23.76871385,Monday,Morning
2025-01-11,11,56,2025-01-11,12,3,Jan,2025,Business,Flatiron District,Midtown,2.57,Errand/Supplies,7,22.07094857,Monday,Morning
2025-01-11,13,32,2025-01-11,13,46,Jan,2025,Business,Midtown,Midtown East,2.74,Meal/Entertain,14,11.72519143,Monday,Afternoon
2025-01-11,14,30,2025-01-11,14,43,Jan,2025,Business,Midtown East,Midtown,3.06,Meal/Entertain,13,14.11267385,Monday,Afternoon
2025-01-12,12,33,2025-01-12,12,49,Jan,2025,Business,Midtown,Hudson Square,3.06,Meal/Entertain,16,11.4665475,Tuesday,Morning
2025-01-12,12,53,2025-01-12,13,9,Jan,2025,Business,Hudson Square,Lower Manhattan,6.44,Meal/Entertain,16,24.1401,Tuesday,Morning
2025-01-12,14,42,2025-01-12,14,56,Jan,2025,Business,Lower Manhattan,Hudson Square,2.90,Errand/Supplies,14,12.41490857,Tuesday,Afternoon
2025-01-12,15,13,2025-01-12,15,28,Jan,2025,Business,Hudson Square,Hell's Kitchen,3.86,Customer Visit,15,15.449664,Tuesday,Afternoon
